Title,Year,Note
The Astrologer,1975,1/13 CTV_2022-08-19 - CULTS (redux)& 1/13 CTV_2022-01-21 - Cult of Personality
Manos: The Hands of Fate,1966,2/13 CTV_2022-08-19 - CULTS (redux)& 2/13 CTV_2022-01-21 - Cult of Personality
The Love Thrill Murders,1971,3/13 CTV_2022-08-19 - CULTS (redux)& 3/13 CTV_2022-01-21 - Cult of Personality
Mandy,2018,4/13 CTV_2022-08-19 - CULTS (redux)
Night Terrors,1993,5/13 CTV_2022-08-19 - CULTS (redux)& 4/13 CTV_2022-01-21 - Cult of Personality
Black Candles,1982,6/13 CTV_2022-08-19 - CULTS (redux)& 5/13 CTV_2022-01-21 - Cult of Personality
Manson,1973,"7/13 CTV_2022-08-19 - CULTS (redux)& 6/13 CTV_2022-01-21 - Cult of Personality& 5/8 CTV_2021-05-24 - KOOK ARENA! Cults, Christians, UFO's & Satan!& 2/7 CTV_2020-08-27 - True Crime Stories!!"
Deathmaster,1972,8/13 CTV_2022-08-19 - CULTS (redux)& 7/13 CTV_2022-01-21 - Cult of Personality& 2/8 CTV_2021-05-03 - HIPPIES!
Satanis: The Devil’s Mass,1970,9/13 CTV_2022-08-19 - CULTS (redux)& 8/13 CTV_2022-01-21 - Cult of Personality& 6/12 CTV_2021-04-30 - The Devil’s Sauce!
Guyana: Cult of the Damned,1979,10/13 CTV_2022-08-19 - CULTS (redux)& 9/13 CTV_2022-01-21 - Cult of Personality
Sympathy for the Devil: The True Story of the Process Church of the Final Judgment,2015,11/13 CTV_2022-08-19 - CULTS (redux)
The Book of Manson,1989,12/13 CTV_2022-08-19 - CULTS (redux)& 12/13 CTV_2022-01-21 - Cult of Personality
The Source Family,2012,13/13 CTV_2022-08-19 - CULTS (redux)& 13/13 CTV_2022-01-21 - Cult of Personality& 8/8 CTV_2021-06-09 - Tarot Theater Returns! 's Card: The Hermit. Selected And Curated By Our Pal @astraleyez !& 7/8 CTV_2021-05-03 - HIPPIES!
One Year In The Life Of Crime,1989,"1/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS& 8/8 CTV_2020-09-21 - Crooks, Hustlers, Swindlers & Cons."
Sexy Beast,2000,"2/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS"
Mikey And Nicky,1976,"3/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS& 4/7 CTV_2020-11-11 - Crooks, Hustlers, Swindlers & Cons PART 2!"
Stripped to Kill,1987,"4/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS& 3/12 CTV_2022-01-28 - HORNY THRILLERS"
The Killing of a Chinese Bookie,1976,"5/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS& 6/8 CTV_2020-09-21 - Crooks, Hustlers, Swindlers & Cons."
The Friends of Eddie Coyle,1973,"6/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS& 7/8 CTV_2020-09-21 - Crooks, Hustlers, Swindlers & Cons."
Thunderbolt & Lightfoot,1974,"7/7 CTV_2022-08-18 - CROOKS, HUSTLERS & CONS& 7/7 CTV_2020-11-11 - Crooks, Hustlers, Swindlers & Cons PART 2!"
Death Game,1977,1/8 CTV_2022-08-17 - HORNY MANIACS!& 3/9 CTV_2021-06-02 - HOME INVASIONS!& 6/10 CTV_2020-08-26 - Bad Girls Have More Fun!
Der Fan,1982,2/8 CTV_2022-08-17 - HORNY MANIACS!& 1/7 CTV_2021-08-02 - Obsession!& 2/8 CTV_2020-11-06 - Date Night From Hell!& 1/8 CTV_2020-07-22 - Guest curator @1800hotduck is taking over the stream all night and tmro! Duck presents: Summer Bummer! Hot Duck is our favorite Video Bruja in the void of the interwebs
Hollywood Chainsaw Hookers,1988,3/8 CTV_2022-08-17 - HORNY MANIACS!
Debbie Does Damnation,1999,4/8 CTV_2022-08-17 - HORNY MANIACS!& 3/11 CTV_2021-03-19 - DIY Masterpiece Theater!
Nekromantik 2,1991,5/8 CTV_2022-08-17 - HORNY MANIACS!
The Laughing Woman,1969,6/8 CTV_2022-08-17 - HORNY MANIACS!
